vehicle_id,vehicle_name,location,vehicle_type,category,driver_name,status
TRT-55-E-GSH82440TDT,TRT-55-E,E,Primary,Tractor,,Active
SU-101-B-341284,SU-101-B,B,Primary,Mini Tipper,,Active
SU-165-B-341253,SU-165-B,B,Primary,Mini Tipper,,Active
RL-10-B,RL-10-B,B,Primary,Rickshaw Loader,,Active
SU-4-B-335657,SU-4-B,B,Primary,Mini Tipper,,Active
SU-66-B-355617,SU-66-B,B,Primary,Mini Tipper,,Active
RL-13-B,RL-13-B,B,Primary,Rickshaw Loader,,Active
SU-46-B-PK-406767,SU-46-B,B,Primary,Mini Tipper,,Active
SU-49-B-PK-406793,SU-49-B,B,Primary,Mini Tipper,,Active
SU-50-B-PK-406789,SU-50-B,B,Primary,Mini Tipper,,Active
SU-162-B,SU-162-B,B,Primary,Mini Tipper,,Active
BL-812-B,BL-812-B,B,Primary,Bike Loader,,Active
SU-2-B,SU-2-B,B,Primary,Mini Tipper,,Active
RL-12-B,RL-12-B,B,Primary,Rickshaw Loader,,Active
RL-11-B,RL-11-B,B,Primary,Rickshaw Loader,,Active
RL-8-B,RL-8-B,B,Primary,Rickshaw Loader,,Active
ML-28-B-MMC-04-CN01455,ML-28-B,B,Primary,Compactor,,Active
RL-9-B,RL-9-B,B,Primary,Rickshaw Loader,,Active
BL-8-B,BL-8-B,B,Primary,Bike Loader,,Active
SUC-78-B,SUC-78-B,B,Primary,Sucking Mechine,,Active
SVL-60-B-00804211G8,SVL-60-B,B,Primary,Tractor Shavel,,Active
FAW-57-B-AHFMPS119CC005257,FAW-57-B,B,Secondary,Mini Tipper,,Active
TRT-4-B-K732006/08/18,TRT-4-B,B,Primary,Tractor,,Active
TRT-44-B-15770507b4,TRT-44-B,B,Primary,Tractor,,Active
TRT-5-B-LM913602V509526X,TRT-5-B,B,Primary,Tractor,,Active
TRT-48-B-20529209N4,TRT-48-B,B,Primary,Tractor,,Active
TRT-51-B-22903711F4,TRT-51-B,B,Primary,Tractor,,Active
TRT-53-B-22904711F4,TRT-53-B,B,Primary,Tractor,,Active
TRT-54-B-22903511F4,TRT-54-B,B,Primary,Tractor,,Active
TRT-55-B-22904311F4,TRT-55-B,B,Primary,Tractor,,Active
BL-22-B,BL-22-B,B,Primary,Bike Loader,,Active
WB-1-B-12867,WB-1-B,B,Primary,Water Tanker,,Active
TRT-2-B-71809/02/13,TRT-2-B,B,Primary,Tractor,,Active
MTS-2-B-RJ000019,MTS-2-B,B,Primary,MTS,,Active
MTS-3-C-RJ000020,MTS-3-C,C,Primary,MTS,,Active
HARM-6463-C-46215,HARM-6463-C,C,Secondary,Compactor,,Active
HARM-6465-D-248560,HARM-6465-D,D,Secondary,Compactor,,Active
HARM-6466-C-248560,HARM-6466-C,C,Primary,Compactor,,Active
HARM-6467-C-AHFMC2816210150,HARM-6467-C,C,Primary,Compactor,,Active
HARM-6468-C-02816220153,HARM-6468-C,C,Primary,Compactor,,Active
HARM-6469-B-AHFMC2816220157,HARM-6469-B,B,Primary,Compactor,,Active
SARM-12-C-902000734,SARM-12-C,C,Primary,Compactor,,Active
SARM-17-C-2000735,SARM-17-C,C,Primary,Compactor,,Active
SARM-6-C-602000772,SARM-6-C,C,Primary,Compactor,,Active
SARM-13-C-102000775,SARM-13-C,C,Primary,Compactor,,Active
SARM-8-C-102000774,SARM-8-C,C,Primary,Compactor,,Active
SARM-1-C-402000768,SARM-1-C,C,Primary,Compactor,,Active
SARM-14-C-302000745,SARM-14-C,C,Primary,Compactor,,Active
SARM-10-C-802000773,SARM-10-C,C,Primary,Compactor,,Active
BL-23-B,BL-23-B,B,Primary,Bike Loader,,Active
TRT-16-C-NA,TRT-16-C,C,Primary,Tractor,,Active
COM-4-C-702000172,COM-4-C,C,Primary,Compactor,,Active
COM-5-C-502000154,COM-5-C,C,Primary,Compactor,,Active
COM-31-C-MMC-04-CNO1452,COM-31-C,C,Primary,Compactor,,Active
COM-86-C-80200178,COM-86-C,C,Primary,Compactor,,Active
Com-93-C-502000308,Com-93-C,C,Primary,Compactor,,Active
COM-96-C-702000303,COM-96-C,C,Primary,Compactor,,Active
COM-165-C-2000165,COM-165-C,C,Primary,Compactor,,Active
COM-3-C-102000006,COM-3-C,C,Primary,Compactor,,Active
COM-179-C-202000063,COM-179-C,C,Primary,Compactor,,Active
Exc-1-C-NA,Exc-1-C,C,Primary,EXCEVATOR,,Active
EXC-2-C-SY0061CC18058S,EXC-2-C,C,Primary,EXCEVATOR,,Active
PU-4027-C-KUN15R-9455407,PU-4027-C,C,Primary,PickUp,,Active
JM-20-C-702001591,JM-20-C,C,Primary,Jetting Mechine,,Active
MS-89-C-NA,MS-89-C,C,Primary,Mechanical Sweeper,,Active
TRT-67-C-NA,TRT-67-C,C,Primary,Tractor,,Active
TRT-68-C-NA,TRT-68-C,C,Primary,Tractor,,Active
SU-69-C-PK-335666,SU-69-C,C,Primary,Mini Tipper,,Active
SU-108-C-PK-405344,SU-108-C,C,Primary,Mini Tipper,,Active
SU-109-C-PK-402514,SU-109-C,C,Primary,Mini Tipper,,Active
SU-110-C-PK-405365,SU-110-C,C,Primary,Mini Tipper,,Active
SU-111-C-PK-405193,SU-111-C,C,Primary,Mini Tipper,,Active
SU-112-C-PK-405247,SU-112-C,C,Primary,Mini Tipper,,Active
SU-118-27-PK-405324,SU-118-27,C,Primary,Mini Tipper,,Active
SU-113-C-PK-405369,SU-113-C,C,Primary,Mini Tipper,,Active
SU-114-C-PK-405333,SU-114-C,C,Primary,Mini Tipper,,Active
SU-115-C-PK-405144,SU-115-C,C,Primary,Mini Tipper,,Active
SU-116-C-PK-405259,SU-116-C,C,Primary,Mini Tipper,,Active
SU-117-C-PK-405013,SU-117-C,C,Primary,Mini Tipper,,Active
SU-119-C-PK-405319,SU-119-C,C,Primary,Mini Tipper,,Active
SU-120-C-PK-405343,SU-120-C,C,Primary,Mini Tipper,,Active
SU-127-C-PK-406806,SU-127-C,C,Primary,Mini Tipper,,Active
SU-126-C-PK-406622,SU-126-C,C,Primary,Mini Tipper,,Active
SU-128-C-PK-406802,SU-128-C,C,Primary,Mini Tipper,,Active
SU-M1-C-PK-476115,SU-M1-C,C,Primary,Mini Tipper,,Active
SU-M3-C-PK-476178,SU-M3-C,C,Primary,Mini Tipper,,Active
SU-M5-C-PK-476179,SU-M5-C,C,Primary,Mini Tipper,,Active
SU-M7-C-PK-476187,SU-M7-C,C,Primary,Mini Tipper,,Active
SU-M11-C-PK-476180,SU-M11-C,C,Primary,Mini Tipper,,Active
SU-M14-C-PK-476197,SU-M14-C,C,Primary,Mini Tipper,,Active
FAW-8-C-PS119CC005259,FAW-8-C,C,Primary,Mini Tipper,,Active
FAW-10-C-PS119CC005260,FAW-10-C,C,Primary,Mini Tipper,,Active
Faw-1-C-PS119CC005261,Faw-1-C,C,Primary,Mini Tipper,,Active
FAW-9-C-PS119CC005262,FAW-9-C,C,Primary,Mini Tipper,,Active
FAW-12-C-PS119CC005263,FAW-12-C,C,Primary,Mini Tipper,,Active
FAW-100-C-PS119CC005264,FAW-100-C,C,Primary,Mini Tipper,,Active
Faw-15-C-PS119CC005265,Faw-15-C,C,Primary,Mini Tipper,,Active
FAW-16-C-AHSMPS120CC005490,FAW-16-C,C,Primary,Mini Tipper,,Active
FAW-17-C-AHSMPS121CC005633,FAW-17-C,C,Primary,Mini Tipper,,Active
FAW-18-C-AHSMPS121CC005684,FAW-18-C,C,Primary,Mini Tipper,,Active
FAW-19-C-AHSMPS120CC005491,FAW-19-C,C,Primary,Mini Tipper,,Active
FAW-20-C-AHSMPS120CC005281,FAW-20-C,C,Primary,Mini Tipper,,Active
FAW-21-C-AHSMPS120CC005477,FAW-21-C,C,Primary,Mini Tipper,,Active
FAW-22-C-AHSMPS121CC005696,FAW-22-C,C,Primary,Mini Tipper,,Active
FAW-23-C-AHSMPS121CC005810,FAW-23-C,C,Primary,Mini Tipper,,Active
Faw-24-C-AHSMPS121CC005678,Faw-24-C,C,Primary,Mini Tipper,,Active
FAW-25-C-AHSMPS121CC005808,FAW-25-C,C,Primary,Mini Tipper,,Active
FAW-26-C-AHSMPS120CC005412,FAW-26-C,C,Primary,Mini Tipper,,Active
FAW-27-C-AHSMPS121CC005603,FAW-27-C,C,Primary,Mini Tipper,,Active
ML-27-C-mmc-04-cno1454,ML-27-C,C,Primary,Compactor,,Active
SU-1-C-SR308PK-386983,SU-1-C,C,Primary,Mini Tipper,,Active
TRTSVL-3-C-LMB9572V503704D,TRTSVL-3-C,C,Primary,Tractor,,Active
TRTSVL-12-C-114-08,TRTSVL-12-C,C,Primary,Tractor,,Active
TRTSVL-4-C-GSH-82410T,TRTSVL-4-C,C,Primary,Tractor,,Active
TRTTS-46-C-NA,TRTTS-46-C,C,Primary,Tractor,,Active
TRT-3-C-LMB9602V520957D,TRT-3-C,C,Primary,Tractor,,Active
TRT-4-C- GSH-4315076,TRT-4-C,C,Primary,Tractor,,Active
TRT-5-C-GSH-4315085,TRT-5-C,C,Primary,Tractor,,Active
TRT-6-C-GSH-4315087,TRT-6-C,C,Primary,Tractor,,Active
TRT-7-C-GSH-4315081,TRT-7-C,C,Primary,Tractor,,Active
WB-(WB 03)-C-PK-444104,WB-(WB 03)-C,C,Primary,Water Tanker,,Active
WB-2015-C-FG8JKKB-31688,WB-2015-C,C,Primary,Water Tanker,,Active
WT-23-C-12868,WT-23-C,C,Primary,Water Tanker,,Active
